FECHA,HORA UTC,TIPO_SISMO,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD ML,MAGNITUD MW,AGENCIA,NUMERO_DE_ESTACIONES,NOMBRE_SFILE,NOMBRE_FORMA_ONDA,DEPARTMENTO,MUNICIPIO,RMS,ERROR_LATITUD,ERROR_LONGITUD,ERROR_PROFUNDIDAD,GAP
01/01/2015 12:00:00 AM,00:15:46,L ,3.97,-76.921000000000006,52,1.4,NA, RSN,4,01-0015-46L.S201501,2015-01-01-0007-43M.COL___277,VALLE DEL CAUCA,BUENAVENTURA,0.7,8,6,16,118
01/01/2015 12:00:00 AM,01:17:46,L ,4.661,-76.165000000000006,122,2.6,NA, RSN,23,01-0117-46L.S201501,2015-01-01-0107-44M.COL___277,VALLE DEL CAUCA,ARGELIA,0.8,3.1,3.6,6.6,50
01/01/2015 12:00:00 AM,01:33:01,L ,6.826,-73.144999999999996,142.5,2.1,NA, RSN,20,01-0133-01L.S201501,2015-01-01-0127-43M.COL___277,SANTANDER,LOS SANTOS,0.6,3.5,5,6.9,119
01/01/2015 12:00:00 AM,02:50:01,L ,7.873,-74.122,23.8,1.1,NA, RSN,5,01-0250-01L.S201501,2015-01-01-0247-42M.COL___277,BOLIVAR,SANTA ROSA DEL SUR,0.3,1.9,5.5,5.4,169
01/01/2015 12:00:00 AM,03:38:19,L ,7.433,-73.387,116.1,1.8,NA, RSN,9,01-0338-19L.S201501,2015-01-01-0327-47M.COL___277,SANTANDER,SABANA DE TORRES,0.6,4.1,5.6,9.800000000000001,93
01/01/2015 12:00:00 AM,04:00:59,L ,3.604,-77.757000000000005,4.1,2.1,NA, RSN,7,01-0401-00L.S201501,2015-01-01-0357-45M.COL___277,VALLE DEL CAUCA,BUENAVENTURA,0.3,8.1,10,15.3,273
01/01/2015 12:00:00 AM,04:03:50,L ,0.796,-77.991,0,1.8,NA, RSN,6,01-0403-50L.S201501,2015-01-01-0357-45M.COL___277,NARINO,CUMBAL,0.5,9.5,5.5,8.699999999999999,171
01/01/2015 12:00:00 AM,05:22:31,L ,7.419,-75.372,29.3,1.2,NA, RSN,5,01-0522-31L.S201501,2015-01-01-0517-37M.COL___277,ANTIOQUIA,CACERES,0.3,8.5,2.9,11.5,107
01/01/2015 12:00:00 AM,06:18:41,L ,6.803,-73.144000000000005,142.69999999999999,1.9,NA, RSN,10,01-0618-41L.S201501,2015-01-01-0617-35M.COL___277,SANTANDER,LOS SANTOS,0.6,5.2,7.2,9.699999999999999,119
01/01/2015 12:00:00 AM,07:03:53,L ,5.871,-73.625,123,1.9,NA, RSN,12,01-0703-53L.S201501,2015-01-01-0657-35M.COL___277,BOYACA,MONIQUIRA,0.6,3.8,4,8,56
